Date,BullPrev,BearPrev,BullVar,BearVar,BullWords,BearWords,10BullVar,10BearVar
9/22/2018,48,26,-12.72727273,44.44444444,41,30,-127.2727273,444.4444444
9/21/2018,55,18,48.64864865,-56.09756098,48,26,486.4864865,-560.9756098
9/20/2018,37,41,-5.128205128,-21.15384615,55,18,-51.28205128,-211.5384615
9/19/2018,39,52,-13.33333333,30,37,41,-133.3333333,300
9/18/2018,45,40,15.38461538,2.564102564,39,52,153.8461538,25.64102564
9/17/2018,39,39,-22,21.875,45,40,-220,218.75
9/16/2018,50,32,19.04761905,-21.95121951,39,39,190.4761905,-219.5121951
9/15/2018,42,41,-20.75471698,-10.86956522,50,32,-207.5471698,-108.6956522
9/14/2018,53,46,39.47368421,21.05263158,42,41,394.7368421,210.5263158
9/13/2018,38,38,-2.564102564,-13.63636364,53,46,-25.64102564,-136.3636364
9/12/2018,39,44,-9.302325581,22.22222222,38,38,-93.02325581,222.2222222
9/11/2018,43,36,16.21621622,-16.27906977,39,44,162.1621622,-162.7906977
9/10/2018,37,43,-7.5,-2.272727273,43,36,-75,-22.72727273
9/9/2018,40,44,14.28571429,-4.347826087,37,43,142.8571429,-43.47826087
9/8/2018,35,46,-10.25641026,-6.12244898,40,44,-102.5641026,-61.2244898
9/7/2018,39,49,0.1,-12.5,35,46,1,-125
9/6/2018,39,56,-15.2173913,47.36842105,39,49,-152.173913,473.6842105
9/5/2018,46,38,-4.166666667,11.76470588,39,56,-41.66666667,117.6470588
9/4/2018,48,34,17.07317073,-2.857142857,46,38,170.7317073,-28.57142857
9/3/2018,41,35,-6.818181818,40,48,34,-68.18181818,400
9/2/2018,44,25,10,-3.846153846,41,35,100,-38.46153846
9/1/2018,40,26,5.263157895,-25.71428571,44,25,52.63157895,-257.1428571
8/31/2018,38,35,-22.44897959,6.060606061,40,26,-224.4897959,60.60606061
8/30/2018,49,33,8.888888889,-8.333333333,38,35,88.88888889,-83.33333333
8/29/2018,45,36,-8.163265306,-7.692307692,49,33,-81.63265306,-76.92307692
8/28/2018,49,39,32.43243243,14.70588235,45,36,324.3243243,147.0588235
8/27/2018,37,34,-17.77777778,-10.52631579,49,39,-177.7777778,-105.2631579
8/26/2018,45,38,28.57142857,2.702702703,37,34,285.7142857,27.02702703
8/25/2018,35,37,-38.59649123,-26,45,38,-385.9649123,-260
8/24/2018,57,50,58.33333333,25,35,37,583.3333333,250
8/23/2018,36,40,-2.702702703,-13.04347826,57,50,-27.02702703,-130.4347826
8/22/2018,37,46,8.823529412,-2.127659574,36,40,88.23529412,-21.27659574
8/21/2018,34,47,-19.04761905,23.68421053,37,46,-190.4761905,236.8421053
8/20/2018,42,38,20,52,34,47,200,520
8/19/2018,35,25,-14.63414634,-16.66666667,42,38,-146.3414634,-166.6666667
8/18/2018,41,30,2.5,-26.82926829,35,25,25,-268.2926829
8/17/2018,40,41,8.108108108,-16.32653061,41,30,81.08108108,-163.2653061
8/16/2018,37,49,37.03703704,-3.921568627,40,41,370.3703704,-39.21568627
8/15/2018,27,51,-34.14634146,45.71428571,37,49,-341.4634146,457.1428571
8/14/2018,41,35,7.894736842,-12.5,27,51,78.94736842,-125
8/13/2018,38,40,5.555555556,-20,41,35,55.55555556,-200
8/12/2018,36,50,9.090909091,13.63636364,38,40,90.90909091,136.3636364
8/11/2018,33,44,-8.333333333,-4.347826087,36,50,-83.33333333,-43.47826087
8/10/2018,36,46,38.46153846,-2.127659574,33,44,384.6153846,-21.27659574
8/9/2018,26,47,-36.58536585,30.55555556,36,46,-365.8536585,305.5555556
8/8/2018,41,36,17.14285714,-23.40425532,26,47,171.4285714,-234.0425532
8/7/2018,35,47,-14.63414634,11.9047619,41,36,-146.3414634,119.047619
8/6/2018,41,42,-2.380952381,10.52631579,35,47,-23.80952381,105.2631579
8/5/2018,42,38,-2.325581395,46.15384615,41,42,-23.25581395,461.5384615
8/4/2018,43,26,-14,-3.703703704,42,38,-140,-37.03703704
8/3/2018,50,27,21.95121951,-28.94736842,43,26,219.5121951,-289.4736842
8/2/2018,41,38,-22.64150943,58.33333333,50,27,-226.4150943,583.3333333
8/1/2018,53,24,-10.16949153,33.33333333,41,38,-101.6949153,333.3333333
7/31/2018,59,18,7.272727273,-5.263157895,53,24,72.72727273,-52.63157895
7/30/2018,55,19,3.773584906,-17.39130435,59,18,37.73584906,-173.9130435
7/29/2018,53,23,15.2173913,-25.80645161,55,19,152.173913,-258.0645161
7/28/2018,46,31,-22.03389831,6.896551724,53,23,-220.3389831,68.96551724
7/27/2018,59,29,0.1,31.81818182,46,31,1,318.1818182
7/26/2018,59,22,3.50877193,4.761904762,59,29,35.0877193,47.61904762
7/25/2018,57,21,18.75,-19.23076923,59,22,187.5,-192.3076923
7/24/2018,48,26,14.28571429,-7.142857143,57,21,142.8571429,-71.42857143
7/23/2018,42,28,-4.545454545,21.73913043,48,26,-45.45454545,217.3913043
7/22/2018,44,23,-24.13793103,-8,42,28,-241.3793103,-80
7/21/2018,58,25,-3.333333333,-7.407407407,44,23,-33.33333333,-74.07407407
7/20/2018,60,27,0.1,22.72727273,58,25,1,227.2727273
7/19/2018,60,22,15.38461538,-18.51851852,60,27,153.8461538,-185.1851852
7/18/2018,52,27,0.1,28.57142857,60,22,1,285.7142857
7/17/2018,52,21,13.04347826,-22.22222222,52,27,130.4347826,-222.2222222
7/16/2018,46,27,24.32432432,-15.625,52,21,243.2432432,-156.25
7/15/2018,37,32,-28.84615385,-13.51351351,46,27,-288.4615385,-135.1351351
7/14/2018,52,37,-1.886792453,12.12121212,37,32,-18.86792453,121.2121212
7/13/2018,53,33,112,57.14285714,52,37,1120,571.4285714
7/12/2018,25,21,-28.57142857,-52.27272727,53,33,-285.7142857,-522.7272727
7/11/2018,35,44,-14.63414634,41.93548387,25,21,-146.3414634,419.3548387
7/10/2018,41,31,-10.86956522,10.71428571,35,44,-108.6956522,107.1428571
7/9/2018,46,28,15,-3.448275862,41,31,150,-34.48275862
7/8/2018,40,29,-9.090909091,-12.12121212,46,28,-90.90909091,-121.2121212
7/7/2018,44,33,12.82051282,-17.5,40,29,128.2051282,-175
7/6/2018,39,40,-18.75,25,44,33,-187.5,250
7/5/2018,48,32,4.347826087,33.33333333,39,40,43.47826087,333.3333333
7/4/2018,46,24,0.1,-17.24137931,48,32,1,-172.4137931
7/3/2018,46,29,4.545454545,3.571428571,46,24,45.45454545,35.71428571
7/2/2018,44,28,-35.29411765,-26.31578947,46,29,-352.9411765,-263.1578947
7/1/2018,68,38,83.78378378,8.571428571,44,28,837.8378378,85.71428571
6/30/2018,37,35,-15.90909091,-5.405405405,68,38,-159.0909091,-54.05405405
6/29/2018,44,37,7.317073171,-15.90909091,37,35,73.17073171,-159.0909091
6/28/2018,41,44,-18,51.72413793,44,37,-180,517.2413793
6/27/2018,50,29,28.20512821,-17.14285714,41,44,282.0512821,-171.4285714
6/26/2018,39,35,14.70588235,-7.894736842,50,29,147.0588235,-78.94736842
6/25/2018,34,38,-8.108108108,-20.83333333,39,35,-81.08108108,-208.3333333
6/24/2018,37,48,42.30769231,-4,34,38,423.0769231,-40
6/23/2018,26,50,-35,47.05882353,37,48,-350,470.5882353
6/22/2018,40,34,-16.66666667,3.03030303,26,50,-166.6666667,30.3030303
6/21/2018,48,33,6.666666667,0.1,40,34,66.66666667,1
6/20/2018,45,33,-13.46153846,6.451612903,48,33,-134.6153846,64.51612903
6/19/2018,52,31,52.94117647,-24.3902439,45,33,529.4117647,-243.902439
6/18/2018,34,41,-5.555555556,20.58823529,52,31,-55.55555556,205.8823529
6/17/2018,36,34,-20,6.25,34,41,-200,62.5
6/16/2018,45,32,55.17241379,-25.58139535,36,34,551.7241379,-255.8139535
6/15/2018,29,43,-9.375,16.21621622,45,32,-93.75,162.1621622
6/14/2018,32,37,-11.11111111,-22.91666667,29,43,-111.1111111,-229.1666667
6/13/2018,36,48,12.5,4.347826087,32,37,125,43.47826087
6/12/2018,32,46,-8.571428571,6.976744186,36,48,-85.71428571,69.76744186
6/11/2018,35,43,-32.69230769,30.3030303,32,46,-326.9230769,303.030303
6/10/2018,52,33,26.82926829,-8.333333333,35,43,268.2926829,-83.33333333
6/9/2018,41,36,-16.32653061,28.57142857,52,33,-163.2653061,285.7142857
6/8/2018,49,28,0.1,3.703703704,41,36,1,37.03703704
6/7/2018,49,27,11.36363636,-3.571428571,49,28,113.6363636,-35.71428571
6/6/2018,44,28,12.82051282,-12.5,49,27,128.2051282,-125
6/5/2018,39,32,-17.0212766,18.51851852,44,28,-170.212766,185.1851852
6/4/2018,47,27,-12.96296296,12.5,39,32,-129.6296296,125
6/3/2018,54,24,45.94594595,-42.85714286,47,27,459.4594595,-428.5714286
6/2/2018,37,42,-27.45098039,20,54,24,-274.5098039,200
6/1/2018,51,35,2,20.68965517,37,42,20,206.8965517
5/31/2018,50,29,4.166666667,0.1,51,35,41.66666667,1
