Date,trfusd,trfusdvar,Value
10/19/2018,124340.3352,-2.434462713,118613.9669
10/18/2018,127442.8847,-14.48434951,124340.3352
10/17/2018,149028.7263,90.51292831,127442.8847
10/16/2018,78224.99375,-5.947027507,149028.7263
10/15/2018,83171.20839,-27.97835907,78224.99375
10/14/2018,115480.8573,0.34622706,83171.20839
10/13/2018,115082.4109,12.15988998,115480.8573
10/12/2018,102605.6738,-7.02602232,115082.4109
10/11/2018,110359.5612,-0.724948022,102605.6738
10/10/2018,111165.453,29.71683243,110359.5612
10/9/2018,85698.55653,-25.92678966,111165.453
10/8/2018,115694.4004,-17.45036352,85698.55653
10/7/2018,140151.3141,14.12973693,115694.4004
10/6/2018,122799.9975,-11.166938,140151.3141
10/5/2018,138236.8172,-18.1104221,122799.9975
10/4/2018,168808.8042,17.36119204,138236.8172
10/3/2018,143836.9884,41.40685819,168808.8042
10/2/2018,101718.5377,-18.72853645,143836.9884
10/1/2018,125158.9836,-35.18339291,101718.5377
9/30/2018,193097.0923,24.91164744,125158.9836
9/29/2018,154586.939,18.69520992,193097.0923
9/28/2018,130238.5658,-0.035113879,154586.939
9/27/2018,130284.3136,26.53228983,130238.5658
9/26/2018,102965.2698,5.986247827,130284.3136
9/25/2018,97149.65096,-22.38505472,102965.2698
9/24/2018,125168.7424,-26.73153786,97149.65096
9/23/2018,170835.7713,45.7452326,125168.7424
9/22/2018,117215.341,8.231543029,170835.7713
9/21/2018,108300.5358,-9.540115763,117215.341
9/20/2018,119722.1693,7.143884329,108300.5358
9/19/2018,111739.6201,31.91931017,119722.1693
9/18/2018,84703.00516,-17.23582949,111739.6201
9/17/2018,102342.6014,-25.78661571,84703.00516
9/16/2018,137903.1591,5.329100975,102342.6014
9/15/2018,130925.9814,-12.72671879,137903.1591
9/14/2018,150018.4015,2.370192598,130925.9814
9/13/2018,146545.0027,16.48952995,150018.4015
9/12/2018,125801.0078,8.934222047,146545.0027
9/11/2018,115483.4591,-3.608087108,125801.0078
9/10/2018,119806.1701,-33.42307728,115483.4591
9/9/2018,179951.4985,-10.60418729,119806.1701
9/8/2018,201297.458,-11.08376145,179951.4985
9/7/2018,226389.9837,28.17546942,201297.458
9/6/2018,176625.0475,22.13978516,226389.9837
9/5/2018,144608.939,22.37842265,176625.0475
9/4/2018,118165.3889,-13.38208217,144608.939
9/3/2018,136421.4147,-22.63640367,118165.3889
9/2/2018,176337.9951,5.538395915,136421.4147
9/1/2018,167084.21,0.160683821,176337.9951
8/31/2018,166816.1635,-47.29281422,167084.21
8/30/2018,316496.0546,44.24012216,166816.1635
8/29/2018,219423.0356,18.26370956,316496.0546
8/28/2018,185537.0818,31.09179867,219423.0356
8/27/2018,141532.181,12.92389264,185537.0818
8/26/2018,125334.1323,0.874913042,141532.181
8/25/2018,124247.0784,-22.15500128,125334.1323
8/24/2018,159608.2992,0.733936462,124247.0784
