Date,ntrbl,ntrblvar,Value
1/7/2017,2364.592814,-5.01623817,2151.58
1/6/2017,2364.592814,-5.01623817,2060.72
1/5/2017,2364.592814,-5.01623817,2143.92
1/4/2017,2364.592814,-5.01623817,1839.41
1/3/2017,2364.592814,-5.01623817,1835.51
1/2/2017,2364.592814,-5.01623817,1157.06
1/1/2017,2364.592814,-5.01623817,1691.03
12/31/2016,2364.592814,-5.01623817,1826.86
12/30/2016,2364.592814,-5.01623817,2030.7
12/29/2016,2364.592814,-5.01623817,1862.15
12/28/2016,2364.592814,-5.01623817,1900.93
12/27/2016,2364.592814,-5.01623817,1724.74
12/26/2016,2364.592814,-5.01623817,1195.29
12/25/2016,2364.592814,-5.01623817,1757.81
12/24/2016,2364.592814,-5.01623817,2006.55
12/23/2016,2364.592814,-5.01623817,1978.89
12/22/2016,2364.592814,-5.01623817,2048.28
12/21/2016,2364.592814,-5.01623817,2148.35
12/20/2016,2364.592814,-5.01623817,1874.02
12/19/2016,2364.592814,-5.01623817,1672.26
12/18/2016,2364.592814,-5.01623817,1648.51
12/17/2016,2364.592814,-5.01623817,2100.45
12/16/2016,2364.592814,-5.01623817,2225.86
12/15/2016,2364.592814,-5.01623817,2059.91
12/14/2016,2364.592814,-5.01623817,1639.08
12/13/2016,2364.592814,-5.01623817,1722.19
12/12/2016,2364.592814,-5.01623817,1722.19
12/11/2016,2364.592814,-5.01623817,1895.76
12/10/2016,2364.592814,-5.01623817,1991.22
12/9/2016,2364.592814,-5.01623817,1800.7
12/8/2016,2364.592814,-5.01623817,1779.2
12/7/2016,2364.592814,-5.01623817,2131.74
12/6/2016,2364.592814,-5.01623817,1828.95
12/5/2016,2364.592814,-5.01623817,1659.79
12/4/2016,2364.592814,-5.01623817,1674.34
12/3/2016,2364.592814,-5.01623817,2210.15
12/2/2016,2364.592814,-5.01623817,1641.65
12/1/2016,2364.592814,-5.01623817,2060.94
11/30/2016,2364.592814,-5.01623817,1947.94
11/29/2016,2364.592814,-5.01623817,1820.3
11/28/2016,2364.592814,-5.01623817,1648.53
11/27/2016,2364.592814,-5.01623817,1814.11
11/26/2016,2364.592814,-5.01623817,2074.91
11/25/2016,2364.592814,-5.01623817,2033.32
11/24/2016,2364.592814,-5.01623817,1883.83
11/23/2016,2364.592814,-5.01623817,2131.6
11/22/2016,2364.592814,-5.01623817,2052.95
11/21/2016,2364.592814,-5.01623817,1911.13
11/20/2016,2364.592814,-5.01623817,1758.87
11/19/2016,2364.592814,-5.01623817,1864.35
11/18/2016,2364.592814,-5.01623817,1745.03
11/17/2016,2364.592814,-5.01623817,1692.94
11/16/2016,2364.592814,-5.01623817,1797.12
11/15/2016,2364.592814,-5.01623817,1572.7
11/14/2016,2364.592814,-5.01623817,1547.74
11/13/2016,2364.592814,-5.01623817,1362.41
11/12/2016,2364.592814,-5.01623817,1562.07
11/11/2016,2364.592814,-5.01623817,1615.32
11/10/2016,2364.592814,-5.01623817,1837.38
11/9/2016,2364.592814,-5.01623817,1751.83
11/8/2016,2364.592814,-5.01623817,1878.63
11/7/2016,2364.592814,-5.01623817,1483.24
11/6/2016,2364.592814,-5.01623817,1624.37
11/5/2016,2364.592814,-5.01623817,2138.3
11/4/2016,2364.592814,-5.01623817,1752.16
11/3/2016,2364.592814,-5.01623817,2018.18
11/2/2016,2364.592814,-5.01623817,1712.84
11/1/2016,2364.592814,-5.01623817,1644.74
10/31/2016,2364.592814,-5.01623817,1238.68
10/30/2016,2364.592814,-5.01623817,1541.53
10/29/2016,2364.592814,-5.01623817,1650.5
10/28/2016,2364.592814,-5.01623817,2014.74
10/27/2016,2364.592814,-5.01623817,1625.35
10/26/2016,2364.592814,-5.01623817,1705.25
10/25/2016,2364.592814,-5.01623817,1587.27
10/24/2016,2364.592814,-5.01623817,1330.4
10/23/2016,2364.592814,-5.01623817,1454.41
10/22/2016,2364.592814,-5.01623817,1618.01
10/21/2016,2364.592814,-5.01623817,2017.76
10/20/2016,2364.592814,-5.01623817,1595.43
10/19/2016,2364.592814,-5.01623817,1622.71
10/18/2016,2364.592814,-5.01623817,1897.85
10/17/2016,2364.592814,-5.01623817,1522.12
10/16/2016,2364.592814,-5.01623817,1482.02
10/15/2016,2364.592814,-5.01623817,1762.67
10/14/2016,2364.592814,-5.01623817,1794.55
10/13/2016,2364.592814,-5.01623817,1625.26
10/12/2016,2364.592814,-5.01623817,1896.15
10/11/2016,2364.592814,-5.01623817,1798.19
10/10/2016,2364.592814,-5.01623817,1315.92
10/9/2016,2364.592814,-5.01623817,1483.26
10/8/2016,2364.592814,-5.01623817,1864.02
10/7/2016,2364.592814,-5.01623817,1704.88
10/6/2016,2364.592814,-5.01623817,1597.67
10/5/2016,2364.592814,-5.01623817,1675.07
10/4/2016,2364.592814,-5.01623817,1715.87
10/3/2016,2364.592814,-5.01623817,1366.54
10/2/2016,2364.592814,-5.01623817,1362.61
10/1/2016,2364.592814,-5.01623817,1767.2
9/30/2016,2364.592814,-5.01623817,1697.41
9/29/2016,2364.592814,-5.01623817,1587.8
9/28/2016,2364.592814,-5.01623817,1437.91
9/27/2016,2364.592814,-5.01623817,1508.29
9/26/2016,2364.592814,-5.01623817,1060.74
9/25/2016,2364.592814,-5.01623817,1260.53
9/24/2016,2364.592814,-5.01623817,1641.08
9/23/2016,2364.592814,-5.01623817,1639.9
9/22/2016,2364.592814,-5.01623817,1441.06
9/21/2016,2364.592814,-5.01623817,1620.83
9/20/2016,2364.592814,-5.01623817,1680.75
9/19/2016,2364.592814,-5.01623817,1321.4
9/18/2016,2364.592814,-5.01623817,1322.26
9/17/2016,2364.592814,-5.01623817,1522.44
9/16/2016,2364.592814,-5.01623817,1516.15
9/15/2016,2364.592814,-5.01623817,1485.89
9/14/2016,2364.592814,-5.01623817,1453.1
9/13/2016,2364.592814,-5.01623817,1280.05
9/12/2016,2364.592814,-5.01623817,1099.94
9/11/2016,2364.592814,-5.01623817,1247.22
9/10/2016,2364.592814,-5.01623817,1553.1
9/9/2016,2364.592814,-5.01623817,1576.43
9/8/2016,2364.592814,-5.01623817,1650.05
9/7/2016,2364.592814,-5.01623817,1706.75
9/6/2016,2364.592814,-5.01623817,1626.3
9/5/2016,2364.592814,-5.01623817,1023.7
9/4/2016,2364.592814,-5.01623817,1446.06
9/3/2016,2364.592814,-5.01623817,1476.18
9/2/2016,2364.592814,-5.01623817,1689.41
9/1/2016,2364.592814,-5.01623817,1676.86
8/31/2016,2364.592814,-5.01623817,1542.33
8/30/2016,2364.592814,-5.01623817,1511.95
8/29/2016,2364.592814,-5.01623817,1147.95
8/28/2016,2364.592814,-5.01623817,1327.06
8/27/2016,2364.592814,-5.01623817,1717.93
8/26/2016,2364.592814,-5.01623817,1800.06
8/25/2016,2364.592814,-5.01623817,1555.26
8/24/2016,2364.592814,-5.01623817,1625.99
8/23/2016,2364.592814,-5.01623817,1445.28
8/22/2016,2364.592814,-5.01623817,1134.38
8/21/2016,2364.592814,-5.01623817,1348.41
8/20/2016,2364.592814,-5.01623817,1598.01
8/19/2016,2364.592814,-5.01623817,1555.46
8/18/2016,2364.592814,-5.01623817,1934.98
8/17/2016,2364.592814,-5.01623817,1885.63
8/16/2016,2364.592814,-5.01623817,1389.69
8/15/2016,2364.592814,-5.01623817,1223.03
8/14/2016,2364.592814,-5.01623817,1324.73
8/13/2016,2364.592814,-5.01623817,1563.57
8/12/2016,2364.592814,-5.01623817,1696.76
8/11/2016,2364.592814,-5.01623817,1615.66
8/10/2016,2364.592814,-5.01623817,1869.63
8/9/2016,2364.592814,-5.01623817,1585.84
8/8/2016,2364.592814,-5.01623817,1300.09
8/7/2016,2364.592814,-5.01623817,1176.95
8/6/2016,2364.592814,-5.01623817,1350.55
8/5/2016,2364.592814,-5.01623817,1515.26
8/4/2016,2364.592814,-5.01623817,1461.6
8/3/2016,2364.592814,-5.01623817,1627.43
8/2/2016,2364.592814,-5.01623817,1470.9
8/1/2016,2364.592814,-5.01623817,1248.4
7/31/2016,2364.592814,-5.01623817,1676.33
7/30/2016,2364.592814,-5.01623817,1574.24
7/29/2016,2364.592814,-5.01623817,1729.53
7/28/2016,2364.592814,-5.01623817,1840.64
7/27/2016,2364.592814,-5.01623817,1842.42
7/26/2016,2364.592814,-5.01623817,1822.21
7/25/2016,2364.592814,-5.01623817,1480.32
7/24/2016,2364.592814,-5.01623817,1494.62
7/23/2016,2364.592814,-5.01623817,1716.31
7/22/2016,2364.592814,-5.01623817,1636.13
