date,open,close,volume,pricevar,classes,,prevopen,prevclose,logprevvol,prevpricevar,prevclasses,classes,
1-Jun-18,7500.7,7541.45,"4,921,460,224",0.543282627,4,,7406.15,7494.17,22.35781191,1.188471743,4,4,
2-Jun-18,7536.72,7643.45,"4,939,299,840",1.416133278,4,,7500.7,7541.45,22.31687112,0.543282627,4,4,
3-Jun-18,7632.09,7720.25,"4,851,760,128",1.155122647,4,,7536.72,7643.45,22.32048943,1.416133278,4,4,
4-Jun-18,7722.53,7514.47,"4,993,169,920",-2.694194778,2,,7632.09,7720.25,22.30260739,1.155122647,4,2,
5-Jun-18,7500.9,7633.76,"4,961,739,776",1.771254116,5,,7722.53,7514.47,22.3313368,-2.694194778,2,5,
6-Jun-18,7625.97,7653.98,"4,692,259,840",0.367297537,4,,7500.9,7633.76,22.32502228,1.771254116,5,4,
7-Jun-18,7650.82,7678.24,"4,485,799,936",0.358392957,4,,7625.97,7653.98,22.26918015,0.367297537,4,4,
8-Jun-18,7685.14,7624.92,"4,227,579,904",-0.783590149,3,,7650.82,7678.24,22.22418267,0.358392957,4,3,
9-Jun-18,7632.52,7531.98,"3,845,220,096",-1.317258258,3,,7685.14,7624.92,22.16489554,-0.783590149,3,3,
10-Jun-18,7499.55,6786.02,"5,804,839,936",-9.514304192,1,,7632.52,7531.98,22.07009668,-1.317258258,3,1,
11-Jun-18,6799.29,6906.92,"4,745,269,760",1.582959397,5,,7499.55,6786.02,22.48195788,-9.514304192,1,5,
12-Jun-18,6905.82,6582.36,"4,654,380,032",-4.68387534,1,,6799.29,6906.92,22.28041412,1.582959397,5,1,
13-Jun-18,6596.88,6349.9,"5,052,349,952",-3.743891052,1,,6905.82,6582.36,22.26107456,-4.68387534,1,1,
14-Jun-18,6342.75,6675.35,"5,138,710,016",5.243782271,6,,6596.88,6349.9,22.34311931,-3.743891052,1,6,
15-Jun-18,6674.08,6456.58,"3,955,389,952",-3.25887613,2,,6342.75,6675.35,22.36006792,5.243782271,6,2,
