us13wdate,us13wopen,us13whigh,us13wlow,us13wclose,us13wadjclose
2-Nov-11,0.005,0.02,0.005,0.005,0.005
3-Nov-11,0.005,0.005,0.005,0.005,0.005
4-Nov-11,0.005,0.005,0.005,0.005,0.005
7-Nov-11,0.005,0.005,0.005,0.005,0.005
8-Nov-11,0.005,0.01,0.005,0.005,0.005
9-Nov-11,0.005,0.005,0.005,0.005,0.005
10-Nov-11,0.005,0.005,0.005,0.005,0.005
11-Nov-11,0.005,0.005,0.005,0.005,0.005
14-Nov-11,0.005,0.01,0.005,0.005,0.005
15-Nov-11,0.005,0.015,0.005,0.01,0.01
16-Nov-11,0.01,0.015,0.005,0.005,0.005
17-Nov-11,0.005,0.005,0.005,0.005,0.005
18-Nov-11,0.005,0.005,0.005,0.005,0.005
21-Nov-11,0.005,0.005,0.005,0.005,0.005
22-Nov-11,0.015,0.02,0.015,0.015,0.015
23-Nov-11,0.015,0.02,0.015,0.015,0.015
25-Nov-11,0.015,0.015,0.005,0.005,0.005
28-Nov-11,0.02,0.02,0.005,0.01,0.01
29-Nov-11,0.02,0.02,0.015,0.015,0.015
30-Nov-11,0.01,0.015,0.005,0.015,0.015
1-Dec-11,0.015,0.015,0.015,0.015,0.015
2-Dec-11,0.015,0.015,0.015,0.015,0.015
5-Dec-11,0.015,0.015,0.015,0.015,0.015
6-Dec-11,0.005,0.015,0.005,0.005,0.005
7-Dec-11,0.005,0.005,0.005,0.005,0.005
8-Dec-11,0.005,0.01,0.005,0.005,0.005
9-Dec-11,0.005,0.005,0.005,0.005,0.005
12-Dec-11,0.005,0.005,0.005,0.005,0.005
13-Dec-11,0.005,0.005,0.005,0.005,0.005
14-Dec-11,0.005,0.005,0.005,0.005,0.005
15-Dec-11,0.005,0.005,0.005,0.005,0.005
16-Dec-11,0.005,0.005,0.005,0.005,0.005
19-Dec-11,0.005,0.005,0.005,0.005,0.005
20-Dec-11,0.005,0.01,0.005,0.005,0.005
21-Dec-11,0.005,0.005,0.005,0.005,0.005
22-Dec-11,0.005,0.005,0.005,0.005,0.005
23-Dec-11,0.005,0.005,0.005,0.005,0.005
27-Dec-11,0.005,0.01,0.005,0.005,0.005
28-Dec-11,0.015,0.015,0.005,0.005,0.005
29-Dec-11,0.005,0.005,0.005,0.005,0.005
30-Dec-11,0.005,0.015,0.005,0.005,0.005
3-Jan-12,0.015,0.015,0.005,0.005,0.005
4-Jan-12,0.01,0.015,0.01,0.01,0.01
5-Jan-12,0.01,0.01,0.01,0.01,0.01
6-Jan-12,0.01,0.02,0.01,0.015,0.015
9-Jan-12,0.01,0.01,0.005,0.005,0.005
10-Jan-12,0.005,0.015,0.005,0.01,0.01
11-Jan-12,0.01,0.015,0.01,0.015,0.015
12-Jan-12,0.02,0.025,0.015,0.02,0.02
13-Jan-12,0.02,0.025,0.02,0.02,0.02
17-Jan-12,0.02,0.025,0.02,0.02,0.02
18-Jan-12,0.025,0.025,0.025,0.025,0.025
19-Jan-12,0.03,0.04,0.025,0.04,0.04
20-Jan-12,0.045,0.045,0.04,0.04,0.04
23-Jan-12,0.04,0.04,0.035,0.035,0.035
24-Jan-12,0.035,0.035,0.035,0.035,0.035
25-Jan-12,0.035,0.035,0.035,0.035,0.035
26-Jan-12,0.035,0.05,0.035,0.045,0.045
27-Jan-12,0.045,0.055,0.045,0.05,0.05
30-Jan-12,0.045,0.05,0.035,0.045,0.045
31-Jan-12,0.055,0.055,0.05,0.055,0.055
1-Feb-12,0.055,0.065,0.055,0.055,0.055
2-Feb-12,0.055,0.075,0.055,0.075,0.075
3-Feb-12,0.075,0.08,0.065,0.07,0.07
6-Feb-12,0.07,0.07,0.06,0.065,0.065
7-Feb-12,0.075,0.08,0.075,0.08,0.08
8-Feb-12,0.075,0.08,0.075,0.075,0.075
9-Feb-12,0.075,0.09,0.075,0.085,0.085
10-Feb-12,0.085,0.085,0.08,0.08,0.08
13-Feb-12,0.085,0.1,0.085,0.095,0.095
14-Feb-12,0.105,0.12,0.095,0.11,0.11
15-Feb-12,0.11,0.11,0.095,0.105,0.105
16-Feb-12,0.095,0.095,0.085,0.095,0.095
17-Feb-12,0.08,0.085,0.055,0.075,0.075
21-Feb-12,0.07,0.07,0.06,0.07,0.07
22-Feb-12,0.08,0.085,0.08,0.08,0.08
23-Feb-12,0.08,0.095,0.08,0.085,0.085
24-Feb-12,0.085,0.09,0.085,0.09,0.09
27-Feb-12,0.095,0.1,0.09,0.1,0.1
28-Feb-12,0.105,0.105,0.095,0.095,0.095
29-Feb-12,0.085,0.085,0.075,0.075,0.075
1-Mar-12,0.07,0.07,0.065,0.07,0.07
2-Mar-12,0.07,0.07,0.06,0.06,0.06
5-Mar-12,0.06,0.06,0.055,0.06,0.06
6-Mar-12,0.08,0.08,0.07,0.07,0.07
7-Mar-12,0.07,0.075,0.065,0.075,0.075
8-Mar-12,0.075,0.075,0.07,0.075,0.075
9-Mar-12,0.075,0.08,0.075,0.08,0.08
12-Mar-12,0.08,0.095,0.075,0.075,0.075
13-Mar-12,0.08,0.08,0.075,0.08,0.08
14-Mar-12,0.08,0.08,0.08,0.08,0.08
15-Mar-12,0.075,0.08,0.075,0.075,0.075
16-Mar-12,0.075,0.08,0.075,0.08,0.08
19-Mar-12,0.08,0.08,0.075,0.075,0.075
20-Mar-12,0.09,0.095,0.09,0.095,0.095
